description,category,disposal_instruction,common_confusion,material_composition
dry plant cuttings,Vegetation,Large branches may need to be cut to appropriate size.,,Plant matter composed primarily of cellulose and lignin.
empty transparent food tin,Metal,Large metal items should be taken to recycling center.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
travel-sized black paper towel with liquid inside,Paper,Remove any plastic or metal attachments before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
used patterned branches,Vegetation,Check if your area has seasonal leaf collection.,,Plant matter composed primarily of cellulose and lignin.
broken fun-sized striped paper towel,Paper,Ensure it is clean and dry before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
folded personal paper fabric scrap empty,Textile Trash,"If no recycling options exist, place in general waste.",,"Fabric made from natural or synthetic fibers, may include blends."
used Brand A foil wrapper with food residue,Metal,Remove any non-metal parts if possible.,,"Aluminum, steel, tin or mixed metal alloys."
dry enormous blue silicone tablecloth,Textile Trash,"If no recycling options exist, place in general waste.",,"Fabric made from natural or synthetic fibers, may include blends."
crumpled patterned plastic wrap,Plastic,Plastic bags can be returned to supermarket collection points.,,Polymer materials derived from petrochemicals or plant-based sources.
clean Artisanal envelope,Paper,Shred sensitive documents before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
purple glass disposable razor empty,Miscellaneous Trash,Place truly non-recyclable items in general waste.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
personal glass candle holder,Glass,"Remove caps, lids, and corks before recycling.",,"Silica-based material, may contain additives for color or strength."
enormous blue plastic toy,Plastic,"If unmarked or non-recyclable plastic, place in general waste.",,Polymer materials derived from petrochemicals or plant-based sources.
mini patterned glass bottle,Glass,Broken glass should be wrapped and labeled before disposal.,,"Silica-based material, may contain additives for color or strength."
stained silver composite Brand B pillow case,Textile Trash,"If no recycling options exist, place in general waste.",,"Fabric made from natural or synthetic fibers, may include blends."
soiled enormous floral Premium food packaging partially filled,Cardboard,"Remove any plastic, styrofoam, or metal parts before recycling.",,Thick paper pulp formed into corrugated or solid sheets.
oversized yellow appliance box with product remaining,Cardboard,Flatten boxes before placing in cardboard recycling.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
patterned greeting card with food residue,Paper,Place in paper recycling bin.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
red biodegradable Generic cigarette butt,Miscellaneous Trash,Place truly non-recyclable items in general waste.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
stained Artisanal flyer,Paper,"If stained with food or oil, place in general waste.",Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
full Generic food packaging,Cardboard,Break down large boxes to save space.,,Thick paper pulp formed into corrugated or solid sheets.
wooden silk tie partially filled,Textile Trash,Consider donating if still usable.,,"Fabric made from natural or synthetic fibers, may include blends."
broken enormous metal coat hanger containing residue,Metal,Ensure it is clean and empty before recycling.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
white meat scraps,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
purple cardboard disposable razor,Miscellaneous Trash,Consider if items can be repaired or repurposed.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
broken personal Natural nail containing residue,Metal,Remove any non-metal parts if possible.,,"Aluminum, steel, tin or mixed metal alloys."
stained enormous linen cloth,Textile Trash,Consider donating if still usable.,,"Fabric made from natural or synthetic fibers, may include blends."
dirty massive glass baby clothes,Textile Trash,Look for textile recycling programs in your area.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
plant cuttings,Vegetation,Some municipalities offer special collection services.,,Plant matter composed primarily of cellulose and lignin.
mini yellow metal gloves,Textile Trash,Look for textile recycling programs in your area.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
purple flowers,Vegetation,Check if your area has seasonal leaf collection.,,Plant matter composed primarily of cellulose and lignin.
